Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results
Sports,SKU1000,390,In Stock,760,30342,Senior,356,12,21,5,UPS,18.04,FastTrack Ltd.,India,5974,50,6271,Pass
Toys,SKU1001,8,In Stock,936,19696,Senior,336,1,52,10,USPS,58.75,FastTrack Ltd.,Egypt,120,55,133,Recheck
Electronics,SKU1002,264,In Stock,74,39602,Adult,294,16,38,13,USPS,61.2,FastTrack Ltd.,USA,8752,47,2373,Recheck
Clothing,SKU1003,42,In Stock,557,11419,Adult,471,7,66,1,UPS,81.61,FastTrack Ltd.,USA,6128,26,1389,Pass
Electronics,SKU1004,364,Out of Stock,659,15883,Senior,363,27,27,8,Aramex,39.67,MegaCorp,India,9095,15,7030,Recheck
Home,SKU1005,227,In Stock,938,18431,Senior,292,17,27,12,FedEx,15.41,Global Supplies Inc.,India,8243,39,5973,Pass
Clothing,SKU1006,181,Limited,628,3476,Senior,1,3,81,13,USPS,93.4,Global Supplies Inc.,China,8512,52,4731,Pass
Toys,SKU1007,32,Out of Stock,890,9268,Adult,366,5,81,6,USPS,11.14,Prime Distributors,India,6668,47,1263,Recheck
Sports,SKU1008,17,In Stock,851,32435,Teen,473,23,84,3,Aramex,16.02,FastTrack Ltd.,China,8348,23,9619,Fail
Sports,SKU1009,98,In Stock,437,46834,Teen,413,17,69,1,FedEx,20.79,Global Supplies Inc.,China,7244,40,1681,Pass
Clothing,SKU1010,421,In Stock,828,47175,Senior,67,14,80,1,UPS,63.05,MegaCorp,India,9659,58,5904,Recheck
Clothing,SKU1011,131,In Stock,573,10329,Adult,125,7,86,3,DHL,6.29,Global Supplies Inc.,USA,124,22,2668,Fail
Clothing,SKU1012,61,Out of Stock,642,2030,Senior,299,13,63,3,FedEx,43.3,MegaCorp,Germany,3461,49,9020,Pass
Electronics,SKU1013,259,In Stock,990,10759,Senior,186,21,2,1,UPS,43.07,Prime Distributors,India,1922,36,2492,Recheck
Clothing,SKU1014,165,Limited,472,43399,Senior,101,4,67,1,Aramex,59.33,Prime Distributors,India,4927,52,5365,Fail
Clothing,SKU1015,170,In Stock,459,27557,Adult,93,26,44,8,Aramex,77.48,Prime Distributors,India,7692,59,6157,Recheck
Home,SKU1016,117,Out of Stock,652,6171,Teen,416,15,88,7,USPS,80.57,FastTrack Ltd.,China,9136,13,5428,Fail
Sports,SKU1017,15,In Stock,756,6117,Senior,353,24,9,12,FedEx,24.14,FastTrack Ltd.,India,9697,23,2019,Pass
Sports,SKU1018,303,In Stock,322,31728,Senior,405,23,59,1,DHL,68.28,FastTrack Ltd.,India,3699,2,7118,Recheck
Toys,SKU1019,177,Out of Stock,412,34593,Senior,401,14,39,12,UPS,66.97,SupplyHub,Egypt,6103,19,4582,Fail
Home,SKU1020,393,In Stock,974,17255,Teen,12,8,54,13,Aramex,57.45,MegaCorp,Egypt,2257,3,927,Recheck
Electronics,SKU1021,138,Out of Stock,544,8530,Senior,354,18,75,10,USPS,28.07,Prime Distributors,India,7263,18,8733,Fail
Sports,SKU1022,33,Limited,596,13743,Senior,241,12,55,1,DHL,95.02,MegaCorp,India,7003,25,3448,Fail
Home,SKU1023,309,In Stock,419,44330,Adult,275,12,55,6,UPS,19.16,FastTrack Ltd.,India,8522,27,3309,Pass
